user_id;product_id;rating
21935;0;2.0
13014;0;5.0
641;0;4.0
3194;0;5.0
11981;0;5.0
30946;1;3.0
32271;1;5.0
2419;1;5.0
16700;1;4.0
22450;1;5.0
30298;1;5.0
8010;1;5.0
17880;1;5.0
24950;2;4.0
23973;2;5.0
19735;2;3.0
25718;2;5.0
28238;2;3.0
20124;2;5.0
13349;3;4.0
29821;3;5.0
23439;3;4.0
29769;3;3.0
27809;3;5.0
20039;3;3.0
6724;3;4.0
8948;3;4.0
27551;3;5.0
22689;3;4.0
23773;3;5.0
29345;3;5.0
25220;3;5.0
24516;3;3.0
16575;4;5.0
19861;4;5.0
15840;4;5.0
2527;4;4.0
22626;4;5.0
29264;4;5.0
16219;4;5.0
25924;4;5.0
9863;4;5.0
5380;4;5.0
18092;4;5.0
31491;4;5.0
6516;4;5.0
23742;4;5.0
21360;4;5.0
4758;4;5.0
12220;4;5.0
23824;4;5.0
8996;4;5.0
12903;4;5.0
19765;4;5.0
21800;4;5.0
19449;4;5.0
10038;4;5.0
3571;4;5.0
5672;4;5.0
20154;4;4.0
17672;4;5.0
23748;4;4.0
11216;4;5.0
26861;4;5.0
30310;4;5.0
32296;4;5.0
727;4;4.0
13100;4;5.0
15383;4;5.0
366;4;5.0
516;4;4.0
10637;4;5.0
5631;4;5.0
15704;4;5.0
2909;4;5.0
29934;4;5.0
21992;4;1.0
24345;4;5.0
5549;4;5.0
12181;4;5.0
9163;4;5.0
22872;4;5.0
19683;4;5.0
16493;4;5.0
12141;4;4.0
10143;4;5.0
10707;4;5.0
19785;4;3.0
1026;4;3.0
14592;4;4.0
32369;4;5.0
11701;4;5.0
1930;4;4.0
425;4;4.0
25627;4;5.0
12876;4;3.0
821;4;4.0
16896;4;4.0
10597;4;3.0
28086;4;5.0
23691;4;5.0
13060;4;5.0
3844;6;4.0
31293;6;5.0
2484;6;5.0
28592;6;5.0
13248;6;5.0
24367;6;5.0
4193;6;5.0
10423;6;5.0
7302;6;5.0
20068;6;4.0
21779;6;5.0
32271;6;5.0
10402;6;5.0
15331;6;5.0
10554;6;1.0
27035;6;5.0
21849;6;5.0
17784;6;5.0
15944;6;1.0
20490;6;4.0
2638;6;4.0
13644;6;5.0
1294;6;5.0
21555;6;5.0
11615;6;5.0
4798;6;5.0
29498;6;5.0
12254;6;5.0
29503;6;5.0
19569;6;3.0
1813;6;5.0
21594;6;5.0
734;6;3.0
26587;6;4.0
23509;6;5.0
745;6;5.0
22469;6;5.0
29960;6;4.0
16014;7;5.0
28604;7;4.0
10774;7;5.0
20925;7;5.0
25473;7;5.0
18713;11;5.0
4356;11;5.0
11611;11;5.0
31525;11;5.0
9521;11;5.0
5284;11;4.0
9853;11;5.0
17875;11;1.0
26008;11;5.0
16355;11;4.0
22432;11;2.0
28677;11;1.0
5477;11;5.0
11218;11;1.0
24099;11;5.0
3242;11;5.0
3438;11;5.0
2048;11;5.0
964;11;2.0
19682;11;5.0
17473;11;4.0
15027;11;5.0
9899;11;5.0
2022;11;5.0
1698;11;5.0
2341;12;5.0
29391;12;2.0
25761;12;5.0
15939;12;3.0
14602;12;5.0
13096;12;2.0
8988;12;3.0
21254;12;4.0
16960;12;4.0
12236;12;1.0
8518;12;4.0
3323;12;5.0
13487;12;5.0
30216;12;1.0
28551;12;5.0
25235;12;4.0
29241;12;1.0
